,spline,x,y,kappa
0,0.0,-0.1683537740724068,0.2064967937363171,0.0045444304078722
40,0.0,-0.1683537740724068,0.2064967937363171,0.0045444304078722
80,0.0,-0.1683537740724068,0.2064967937363171,0.0045444304078722
120,0.0,-0.1683537740724068,0.2064967937363171,0.0045444304078722
160,0.0,-0.1683537740724068,0.2064967937363171,0.0045444304078722
200,0.0,-0.1683537740724068,0.2064967937363171,0.0045444304078722
240,0.0,-0.1683537740724068,0.2064967937363171,0.0045444304078722
280,0.0,-0.1683537740724068,0.2064967937363171,0.0045444304078722
320,0.0,-0.1683537740724068,0.2064967937363171,0.0045444304078722
360,0.0,-0.1683537740724068,0.2064967937363171,0.0045444304078722
400,0.0,-0.1683537740724068,0.2064967937363171,0.0045444304078722
440,0.0,-0.1683537740724068,0.2064967937363171,0.0045444304078722
480,0.0,-0.1683537740724068,0.2064967937363171,0.0045444304078722
520,0.0,-0.1649984683476549,0.2062605940072917,0.0042431685547429
560,0.0,-0.1659038775422045,0.2063415466794245,0.0043292251819293
600,0.0,-0.1660987663683432,0.2063742366140795,0.0043478219985949
640,0.0,-0.1659084952955315,0.2063572900310684,0.0043297649433376
680,0.0,-0.166536777866868,0.2064131410895786,0.0043893461254512
720,0.0,-0.1669656956421103,0.2064510711212941,0.0044299409938073
760,0.0,-0.1667217645015748,0.206429521673489,0.0044068628921051
800,0.0,-0.1667217645015748,0.206429521673489,0.0044068628921051
840,0.0,-0.1667217645015748,0.206429521673489,0.0044068628921051
880,0.0,-0.1667217645015748,0.206429521673489,0.0044068628921051
920,0.0,-0.1667173369700945,0.2064137986080485,0.0044063423998971
960,0.0,-0.1667698052679391,0.2063877763349306,0.004411105689671
1000,0.0,-0.1667653899029285,0.2063720545694286,0.0044105864347101
1040,0.0,-0.1667653899029285,0.2063720545694286,0.0044105864347101
1080,0.0,-0.1667653899029285,0.2063720545694286,0.0044105864347101
1120,0.0,-0.1667653899029285,0.2063720545694286,0.0044105864347101
1160,0.0,-0.166957910669494,0.2068489964642869,0.0044318408805727
1200,0.0,-0.16739410972513,0.2245655394789125,0.0045748155908292
1240,0.0,-0.1738415481327664,0.2882847287421551,0.0055963452055188
1280,0.0,-0.1804903370161373,0.4036480735217494,0.0069905522819631
1320,0.0,-0.1878377666720011,0.5703481890248701,0.0088949332606852
1360,0.0,-0.1945473745747017,0.7874372305992134,0.0112895265418537
1400,0.0,-0.1988931438214857,1.0540579262733891,0.0141483825410093
1440,0.0,-0.198949008794763,1.4039550991669596,0.0178723399556758
1480,0.0,-0.1904978276257879,1.7335762046486904,0.0205828850361582
1520,0.0,-0.1660554370217606,2.144720591792283,0.0225026698975358
1560,0.0,0.0255124048010688,2.60989698902736,0.0086678389714597
1600,0.0,0.0742115013306938,3.1196881559499694,0.0078940626711751
1640,0.0,0.1209031232151521,3.666863304777255,0.0069005481526287
1680,0.0,0.1628008167521566,4.110997488211897,0.0063130845808412
1720,0.0,0.2307590961682605,4.708170165716279,0.0042855641989768
1760,0.0,0.288725378448052,5.401226002048439,0.0040129128426324
1800,0.0,0.3314156078224151,6.082637126685394,-0.0072693950328951
1840,0.0,0.3876013259188872,6.773967261668892,-0.0084290005232747
1880,0.0,0.4138142475310157,7.574762831733246,-0.0082610329435714
1920,0.0,0.4526773196053547,8.371495946814196,-0.0086293493419961
1960,0.0,0.5013959883904268,9.07577771717624,-0.0090718503716155
2000,0.0,0.5863023330070067,10.126592331242737,-0.0036535360501988
2040,0.0,0.6053997726339613,10.98914828859839,-0.0106974591236199
2080,0.0,0.6478683558212448,11.888740272629496,-0.0104406245033301
2120,0.0,0.7027056265989632,12.888034759878224,-0.0101128205928678
2160,0.0,0.8441426811387034,13.963920886288186,0.0242803123793433
2200,0.0,0.9838372990298342,14.94615587199064,0.0137142780814961
2240,0.0,1.025533487397784,15.99331371515686,0.0164090056851872
2280,0.0,1.1308338075735238,17.129949836365263,0.0377266371517248
2320,0.0,1.2801315029492728,18.30968029303128,0.034229203597071
2360,0.0,1.4455322479137531,19.442583546053868,-0.0130220517487553
2400,0.0,1.523293077701776,20.667952059250915,-0.005193883933267
2440,0.0,1.6398192420705682,21.96051981468217,-0.0045341653885611
2480,0.0,1.7696187940719454,23.370310165565886,-0.0029109589312658
2520,0.0,1.871933099138958,24.516741380741536,-0.0244535809525645
2560,0.0,2.039092592106784,25.76769418848179,-0.0478701267857392
2600,0.0,2.272467876971675,26.969133774770985,-0.0775181106849534
2640,0.0,2.4088139333310323,28.13424695611605,-0.1234352199178559
2680,0.0,2.7324748307158,29.161959136133625,-0.1500045550461352
2720,0.0,3.255146902777779,30.36260343178376,-0.1696966154569428
2760,0.0,3.722579538565931,31.20361501673198,-0.151693975966988
2800,0.0,4.39042035360057,32.29249909926011,-0.1340929085774787
2840,0.0,5.216978291529416,32.83006139404729,-0.1525449276832999
2880,0.0,6.152090098468045,33.47204535457354,-0.133313141794341
2920,0.0,7.05484397014402,33.835345527356445,-0.1249398358007208
2960,0.0,7.952998705168239,34.54262292140959,-0.1157434757949332
3000,0.0,9.014085043883478,34.71910737340793,-0.1159083072775919
3040,0.0,10.11344004999368,34.80122063748728,-0.1007918854949263
3080,0.0,11.261026006948963,34.80266241334564,-0.1123114066247846
3120,0.0,12.285600446963697,34.653018968148594,-0.0971482879214509
3160,0.0,13.39490182228989,34.35519392360964,-0.0817784263185615
3200,0.0,14.413264140240347,33.897959401474985,-0.0754481806648033
3240,0.0,15.282256986739103,33.32173829110024,-0.0821278141087371
