Centerline_X,Centerline_Y
-5.650117957248585,-36.924735954842234
-6.134234222369688,-36.64318994251488
-6.632051324506614,-36.37643970788326
-6.833855091493744,-36.24930135022424
-7.352182040872942,-36.00364926433583
-7.569137351090458,-35.89026973882954
-8.106294474876943,-35.66347695295006
-8.653939240066814,-35.44808700597429
-8.891665626316279,-35.35178472075708
-9.455302883926928,-35.15172597843912
-10.027372596479992,-34.96096638284972
-10.60697758666582,-34.77869148843064
-10.868747095172445,-34.69851164211087
-11.460348886641254,-34.526750610381555
-12.057430769281858,-34.361370587647414
-12.659095565784632,-34.201557128350224
-12.940734887079344,-34.129902903989226
-13.55040079372724,-33.97578596541376
-14.162594427776313,-33.82513189810011
-14.776418611917027,-33.67712625649001
-15.390976168839762,-33.530954595025236
-16.005369921234898,-33.385802468147574
-16.622777579068334,-33.239889647829564
-17.23520054294624,-33.093928765019754
-17.846667091206612,-32.94582182224065
-18.45723355969394,-32.794395408109146
-19.066956284252708,-32.63847611124212
-19.675891600727393,-32.476890520256475
-20.28409584496248,-32.308465223769076
-21.180217606107746,-32.04804134965395
-21.785902920883927,-31.857759280340986
-22.391343338640255,-31.656418661052484
-23.282187284591604,-31.33604044702475
-23.887344460259882,-31.101613088359635
-24.49218745240653,-30.852133661700535
-25.38279891415722,-30.446310308275045
-25.982515436783977,-30.155672412963483
-26.57475921214882,-29.849524649208057
-27.156270234791037,-29.528434296461857
-27.999083061550227,-29.008213151355026
-28.542896329513493,-28.651234623234796
-29.064864736121237,-28.281381163209854
-29.561728275912756,-27.899220050733316
-30.030226943427365,-27.505318565258307
-30.683700514632257,-26.874746769803956
-31.071244634854317,-26.453556453299587
-31.419311774166538,-26.022693420882785
-31.875470009604534,-25.33738295436567
-32.22507609058719,-24.63176378772717
-32.46145057791624,-23.909183464065396
-32.586932144847495,-23.173324784432225
-32.61243990454342,-22.694057305266746
-32.56364895332625,-21.94418754895531
-32.41813429628653,-21.19146158970353
-32.270495454832314,-20.704990483571706
-32.081872196287435,-20.21903902363809
-31.739272976794553,-19.473478731364295
-31.46317933125026,-18.994532374880436
-31.154164970764,-18.520072569325418
-30.651282367958537,-17.80235426468188
-30.273447039309175,-17.344588493329955
-29.87075469786656,-16.895276177637516
-29.24438989088908,-16.226076181276476
-28.791526000119653,-15.803146830540477
-28.0987949572674,-15.182280791055945
-27.608822966696764,-14.792632472768304
-27.10764363479229,-14.418195378132207
-26.35444702936156,-13.88147826221197
-25.83464092591734,-13.549872892584904
-25.056476659761326,-13.084073688525493
-24.523934112288508,-12.79666283196255
-23.724170102471895,-12.399358322618951
-23.179948704655672,-12.15401690550992
-22.631640342894872,-11.925031882612657
-21.805644785435454,-11.616199664367743
-21.24707915591616,-11.426332022249
-20.684943783022923,-11.251671903299865
-19.836204046850906,-11.02459378007183
-19.265232988784085,-10.886098983225825
-18.69120940791395,-10.761662838507263
-17.82321286195953,-10.609620614214311
-17.24177517850072,-10.518397732923491
-16.65780219280922,-10.44008463271795
-16.071434049954927,-10.374352882966221
-15.482810895007745,-10.320874053036842
-14.892072873037572,-10.279319712298342
-13.99822558900053,-10.247158724416597
-13.402626273528774,-10.23340426719836
-12.805429311604652,-10.23042542812884
-12.206774848298066,-10.23789377657657
-11.606803028678925,-10.255480881910088
-11.00565399781713,-10.282858313497925
-10.403467900782582,-10.319697640708615
-9.800384882645183,-10.365670432910695
-9.196545088474831,-10.420448259472696
-8.592088663341443,-10.483702689763152
-7.987155752314907,-10.555105293150596
-7.381886500465127,-10.634327639003564
-6.776421052862011,-10.721041296690593
-6.17089955457546,-10.81491783558021
-5.2587101534779865,-10.970293264316357
-4.653896774782701,-11.079992783533173
-4.049544565974598,-11.195706312910419
-3.445793672123587,-11.317105421816628
-2.8427842382995725,-11.44386167962033
-2.2406564095724475,-11.575646655690065
-1.6395503310121322,-11.71213191939436
-1.0396061476885106,-11.852989040101754
-0.440964004671492,-11.997889587180781
0.1562359529690136,-12.146505129999973
0.7518535801631252,-12.298507237927868
1.3457487318409123,-12.453567480332994
1.937781262932492,-12.61135742658389
2.527811028367957,-12.771548646049087
3.115697883077395,-12.933812708097115
3.7013016819909272,-13.097821182096519
4.28449129379857,-13.263252371304308
4.865268332803236,-13.42988374893085
5.443735524130968,-13.597568324811803
6.019998132373978,-13.76616100593585
6.594161422124495,-13.935516699291664
7.166330657974704,-14.105490311867923
7.736611104516845,-14.275936750653315
8.305108026343117,-14.446710922636507
9.149828837319008,-14.692926625724663
9.714612004344474,-14.864074795350385
10.27807606473191,-15.035135177612329
10.84032628307354,-15.205962679499176
11.401477415092096,-15.376422565383356
11.961731700957124,-15.54647556876871
12.521338580162901,-15.716133930354925
13.080547951363794,-15.885410391909222
13.639609713214199,-16.05431769519884
14.198773764368473,-16.222868581990994
14.758290003481005,-16.391075794052924
15.318408329206166,-16.55895207315184
15.87937864019833,-16.72651016105498
16.441450835111898,-16.89376279952957
17.004874812601216,-17.06072273034283
17.569900471320675,-17.227402695261997
18.136777709924658,-17.39381543605429
18.705756427067527,-17.559973694486935
19.27708652140368,-17.725890212327165
19.85101766115222,-17.891577415139583
20.427695414269905,-18.056904882396886
21.006997232207887,-18.221374284844813
21.58875798965223,-18.384428869509932
21.870726832645218,-18.46553239000578
22.455676313619684,-18.625841858779964
23.042855757825826,-18.783615987119276
23.632100039949748,-18.938298022050265
24.223244034677492,-19.089331210599475
24.816122616695147,-19.236158799793465
25.410570660688776,-19.37822403665878
26.00642304134446,-19.514970168221964
26.29838684092779,-19.589688859896203
26.89718183648899,-19.71972536519076
27.497007824942287,-19.8429751014869
28.097312589981456,-19.957950530311162
28.697519537256134,-20.063105494595302
29.29705207241595,-20.156893837271095
29.596024896005606,-20.21512984470558
30.194441840349008,-20.28989808677455
30.79072098919351,-20.34921097229872
31.38428574818876,-20.391522344209854
31.68193906627407,-20.419350539123798
32.27110747798544,-20.433021235223656
32.85609811646354,-20.42560168277405
33.436334387358,-20.395545724706725
33.727705085006676,-20.377023374301004
34.30026425214978,-20.30870616521795
34.86660841807595,-20.213676667142273
35.15017511733076,-20.150700204858985
35.707170613313366,-20.013707758670094
36.25753609743249,-19.85065052797822
36.533276014486475,-19.747193545920016
37.074829378351,-19.547800143313324
37.61035883807734,-19.326100541752865
38.14015134097458,-19.083587715482718
38.4069627685822,-18.939547816947773
38.92934228605408,-18.669960280716033
39.4466663998975,-18.383501976112072
39.95922205742159,-18.081665877379976
40.21882753290255,-17.912347187956634
40.72536933984089,-17.59269784124158
41.22782424366055,-17.26161315673586
41.726479191670585,-16.920586108683544
42.22162113118008,-16.571109671328745
42.71353637360773,-16.214670319547807
43.20247406650123,-15.852374680271929
43.453441632131984,-15.673882097766118
43.9385821883137,-15.306639832843747
44.421132539068665,-14.934476657129029
44.90127994808937,-14.557866689296489
45.379211679068334,-14.177284048020631
45.85511499569807,-13.793202851975977
46.32917716167111,-13.40609721983705
46.80158544067996,-13.01644127027835
47.04468276434366,-12.839291400404491
47.51467652718156,-12.447446526438167
47.983398905406226,-12.053937224680798
48.451037162710165,-11.659237613806905
48.917778562785884,-11.263821812491008
49.38381036932593,-10.868163939407609
49.84931984602277,-10.472738113231243
50.31449425656898,-10.07801845263641
50.77952086465703,-9.684479076297627
51.24458693397945,-9.29259410288942
51.70987972822876,-8.90283765108629
52.17558651109748,-8.515683839562767
52.64189108225477,-8.13159808016612
53.34576250179901,-7.5571000470366005
53.814454698498686,-7.182616400751014
54.283384810354775,-6.810392382353675
54.75241526942652,-6.440085645780535
55.221408507773106,-6.071353844967545
55.69022695745379,-5.7038546338506695
56.158733050527765,-5.337245666365849
56.62678921905427,-4.971184596449049
57.09425789509254,-4.605329078036208
57.56100151070177,-4.239336765063295
58.026882497941216,-3.872865311466261
58.49176328887005,-3.5055723711810605
58.95550631554755,-3.1371155981436467
59.41797401003292,-2.7671526462899623
59.87902880438537,-2.3953411695559805
