car_position/0,car_position/1,car_direction/0,car_direction/1,V_x,V_y,V_T
2.349517822,28.112854,0.238662642,0.97110254,39.07687378,23.1900024,45.43983138
2.734298706,29.22099304,0.337159433,0.941447564,44.25605773,22.1627808,49.49532805
3.288009644,30.35699463,0.455078066,0.890451545,51.39796448,22.7200318,56.19564571
3.839691162,31.20669556,0.55649883,0.830848393,61.92050172,16.9940186,64.21016431
4.625946045,32.12724304,0.676356927,0.736574034,72.1678772,18.4109496,74.47929621
5.347991943,32.77035522,0.762406091,0.647098873,87.17092896,12.8622436,88.11474431
6.217269897,33.35694885,0.842805731,0.538217892,100.742569,11.7318726,101.4233801
7.140991211,33.80349731,0.907884671,0.419220019,117.2044067,8.9309692,117.5441839
8.111495972,34.12275696,0.951803485,0.306708537,134.7083282,6.385193,134.8595728
9.13067627,34.32879639,0.979582507,0.201042563,153.0992432,4.1207886,153.1546903
10.18762207,34.42169189,0.995611045,0.093587645,172.4259033,1.85791,172.4359126
11.25244141,34.38949585,0.999653805,-0.026311027,192.5,0.6439208,192.501077
12.28833008,34.22885132,0.987847051,-0.155429095,212.7604981,3.2128906,212.7847556
13.27552795,33.9380188,0.959506523,-0.281686407,232.4910737,5.8166504,232.5638251
14.31001282,33.48193359,0.913564732,-0.40669335,251.2005462,9.1217042,251.3661073
15.21051025,32.94444275,0.860588025,-0.50930173,270.9897462,10.7498168,271.2028781
16.06869507,32.30021667,0.801884395,-0.59747922,288.1415099,12.8845216,288.4294379
16.87200928,31.55337524,0.733622498,-0.679557232,304.5018921,14.9368286,304.8680225
17.54876709,30.80404663,0.668114782,-0.744058222,319.8914185,14.9865722,320.2422786
18.3184967,29.79910278,0.601145769,-0.79913939,332.6568451,20.098877,333.2634715
18.96772766,28.81040955,0.545102637,-0.838369319,347.4022063,19.7738646,347.9645078
19.59080505,27.76620483,0.508946714,-0.860798026,359.7637482,20.8840944,360.3693937
20.1914978,26.66999817,0.477260967,-0.878761611,371.6246032,21.9241332,372.2707527
20.70826721,25.63949585,0.445549192,-0.895257459,383.1216888,20.6100464,383.6756474
21.25738525,24.44746399,0.412475088,-0.910968881,392.907959,23.8406372,393.6305885
21.82817078,23.08123779,0.377319025,-0.92608334,403.3195342,27.324524,404.2440801
22.26705933,21.92112732,0.347942372,-0.937515923,414.2963563,23.2022094,414.9455547
22.75964355,20.45263672,0.306220107,-0.951960738,422.5815431,29.369812,423.6009282
23.10646057,19.22091675,0.258372111,-0.966045471,432.0864104,24.6343994,432.7880771
23.40763855,17.70326233,0.161594075,-0.986857312,438.7215729,30.3530884,439.7703133
23.53302002,16.329422,0.04163507,-0.999132885,444.619751,27.4768066,445.4679538
23.51681519,15.11500549,-0.075813824,-0.997121991,447.1435852,24.2883302,447.8027566
